"CURRICULUM_STEP_NO","QUESTION","MEANING","ANSWER","DISTRACTOR_1","DISTRACTOR_2","DISTRACTOR_3","DISTRACTOR_4"
25,bar graph,막대 그래프,"4","양, 합계",감소하다,대분수,막대 그래프
25,increase,증가하다,"3",수직선,보여주다,증가하다,고쳐 말하다
25,square,정사각형,"4",변,분수,꼭지점,정사각형
25,size,크기,"4",평면도형,꼭지점,전체,크기
25,light,가벼운,"3",탤리차트,기호표,가벼운,막대그래프
25,peanut,땅콩,"4",버터,겨자,수프,땅콩
25,clerk,점원,"3",은행원,요리사,점원,제빵사
25,plate,접시,"4",포크,탁자,쟁반,접시
25,remember,기억하다,"2",옮기다,기억하다,잃다,두드리다
25,receipt,영수증,"1",영수증,손수레,계산,지불
25,look in,~을 들여다 보다,"3",찾다,세다,~을 들여다 보다,눕다
25,postcard,엽서,"4",우표,봉투,소포,엽서
25,each,각각,"3",매일,항상,각각,벌써
25,mail,우편에 부치다,"2",들어 올리다,우편에 부치다,작성하다,두드리다
25,direction,방향,"1",방향,장소,건물,지불
25,postage,우편 요금,"2",엽서,우편 요금,소포,수집
25,expensive,비싼,"3",값이 싼,빠른,비싼,적당한
25,envelope,봉투,"3",우표,엽서,봉투,지갑
25,bankbook,통장,"2",봉투,통장,지갑,돈
25,need,필요하다,"1",필요하다,그리워하다,가지다,사다
25,form,형식,"1",형식,요금,공짜,소설
25,Indian,인디언(의),"2",미국(의),인디언(의),영국(의),중국(의)
25,like,~처럼,"4",~를 향해,~로 인해,~에 대한,~처럼
25,eat,먹다,"2",두드리다,먹다,마시다,주문하다
25,drink,마시다,"4",먹다,주문하다,치우다,마시다
25,order,주문하다,"4",지불하다,세다,두드리다,주문하다
25,trash,쓰레기,"1",쓰레기,계산대,쟁반,접시
25,carry,옮기다,"2",닦다,옮기다,두드리다,버리다
25,nurse`s office,양호실,"1",양호실,소방관,우체국,도서관
25,rest,쉬다,"1",쉬다,옮기다,눕다,희망하다
25,wrong,상태가 나쁜,"4",옳은,맛있는,지독한,상태가 나쁜
25,look for,찾다,"2",주문하다,찾다,치우다,비우다
25,fried chicken,프라이드치킨,"2",수프,프라이드치킨,구운 감자,스파게티
25,station,역,"3",도로,건물,역,지하
25,let,시키다,"2",깎다,시키다,수집하다,뿌리다
25,earrings,귀걸이,"4",반지,목걸이,팔찌,귀걸이
25,warm,따뜻한,"1",따뜻한,차가운,부드러운,따가운
25,art museum,미술관,"4",꽃집,서점,우체국,미술관
25,change,바꾸다,"4",파다,고치다,심다,바꾸다
25,post office,우체국,"4",서점,미술관,경찰서,우체국
25,farmer,농부,"2",작가,농부,경찰,가수
25,reporter,기자,"2",경찰관,기자,요리사,소방관
25,entrance,입구,"1",입구,복도,출발,출구
25,pack,꾸러미,"3",여행가방,각각의,꾸러미,둘 다
25,classroom,교실,"3",거실,학교,교실,식당
25,carefully,주의 깊게,"2",갑자기,주의 깊게,보통,결국
25,beautifully,아름답게,"4",행복하게,천천히,조용하게,아름답게
25,softly,부드럽게,"1",부드럽게,주의 깊게,쉽게,천천히
25,jeans,청바지,"4",치마,양말,셔츠,청바지
25,dinner,저녁 식사,"1",저녁 식사,점심 식사,아침 식사,디저트
25,free,자유로운,"1",자유로운,가득찬,불쌍한,어리석은
25,decorate,장식하다,"3",청소하다,닦다,장식하다,버리다
25,plan,계획하다,"2",기대하다,계획하다,즐기다,생각하다
25,bring,가져오다,"4",빌려주다,시작하다,선택하다,가져오다
25,catch,잡다,"2",밀다,잡다,당기다,던지다
25,caught,catch(잡다)의 과거형,"1",잡았다,샀다,생각했다,가르쳤다
25,map,지도,"1",지도,가방,모자,대걸레
25,flower,꽃,"4",나무,씨앗,잔디,꽃
25,find,찾다,"4",주다,유지하다,떠나다,찾다
25,laundry bag,세탁물 자루,"2",가방,세탁물 자루,세탁기,세탁실
25,smart,영리한,"3",예쁜,뚱뚱한,영리한,재미있는
25,town,마을,"2",여행,마을,나라,수도
25,guitar,기타,"3",피아노,바이올린,기타,첼로
25,passport,여권,"4",공책,비행기,공항,여권
25,newspaper,신문,"4",서점,잡지,"(신문, 잡지의)글, 기사",신문
25,wheel,바퀴,"4",자동차,택시,버스,바퀴
25,bank,은행,"4",경찰서,도서관,박물관,은행
25,jacket,"재킷, 상의","4",청바지,스웨터,바지,"재킷, 상의"
25,broken,"깨진, 망가진","4",길을 잃은,발견하다,날다,"깨진, 망가진"
25,glasses,안경,"4",가위,장갑,신발들,안경
25,in-line skate,인라인 스케이트를 타다,"3",스키타러 가다,낚시하러 가다,인라인 스케이트를 타다,놀다
25,carrot,당근,"3",오이,토마토,당근,피망
25,shy,수줍은,"4",중요한,게으른,조용한,수줍은
25,wear,"입다, 쓰다","3",웃다,떨어지다,"입다, 쓰다",잡다
25,heavy,무거운,"1",무거운,키가 큰,짧은,높은
25,them,그들을,"1",그들을,그것을,나를,그를
25,old,낡은,"2",어린,낡은,큰,짧은
25,shark,상어,"2",돌고래,상어,뱀,게
25,laundry room,세탁실,"3",식당,거실,세탁실,차고
25,friend,친구,"4",사촌,선생님,부모님,친구
25,nurse,간호사,"2",음악가,간호사,화가,의사
25,cook,요리사,"4",선생님,경찰관,간호사,요리사
25,clean,청소하다,"1",청소하다,읽다,만들다,만나다
25,talk,말하다,"4",걷다,씻다,건너다,말하다
25,firefighter,소방관,"4",선생님,경찰관,우체부,소방관
25,bicycle,자전거,"3",비행기,자동차,자전거,버스
25,the United Kingdom,영국,"3",미국,호주,영국,일본
25,Italy,이탈리아,"4",독일,프랑스,브라질,이탈리아
25,January,"1월","1","1월","3월","5월","4월"
25,November,"11월","3","1월","8월","11월","7월"
25,an elephant,코끼리 한 마리,"3",코끼리 두 마리,코끼리 세 마리,코끼리 한 마리,코끼리 네 마리
25,cats,고양이들,"4",강아지들,호랑이들,사자들,고양이들
25,wolves,wolf(늑대)의 복수형,"1",늑대들,말들,아내들,여우들
25,children,child(아이)의 복수형,"2",아기들,아이들,학생들,친구들
25,mice,mouse(쥐)의 복수형,"1",쥐들,기린들,새들,고양이들
25,deer,deer(사슴)의 복수형,"4",거위들,쥐들,곰들,사슴들
25,path,길,"4",버스,밭,시골,길
25,weather,날씨,"3",요일,달,날씨,온도
25,hurt,아프다,"4",듣다,감추다,그리다,아프다
25,warm,따뜻한,"4",차가운,더운,흐린,따뜻한
25,put on,(연극을) 상연하다,"4",내려놓다,~에 달려있다,~을 수행하다,(연극을) 상연하다
25,line,"(연극, 영화의) 대사","2",의상,"(연극, 영화의) 대사",인물,무대
25,confuse,헷갈리게 하다,"4",~을 막다,설득하다,공부하다,헷갈리게 하다
25,lawnmower,잔디 깎는 기계,"3",차고,냉장고,잔디 깎는 기계,진공 청소기
25,every,"매~, 모든","4",각각,~위한,그러한,"매~, 모든"
25,bike,자전거,"4",자동차,오토바이,버스,자전거
25,pilot,비행기 조종사,"1",비행기 조종사,배우,음악가,비행기
25,architect,건축가,"3",변호사,교수,건축가,경찰관
25,different,다른,"3",어려운,중요한,다른,비슷한
25,put out,불을 끄다,"3",(옷 등을)벗다,출발하다,불을 끄다,제거하다
25,forest,숲,"2",바다,숲,섬,호수
25,sometimes,"때때로, 가끔","1","때때로, 가끔","언제나, 항상",보통,최대의
25,suddenly,갑자기,"1",갑자기,아직도,~이내에,저편에
25,sticker,스티커,"1",스티커,책,색연필,전화기
25,camel,낙타,"1",낙타,사자,곰,타조
25,desert,사막,"3",호수,정글,사막,산
25,plow,밭을 갈다,"3",조각하다,그림 그리다,밭을 갈다,"(나무, 씨앗등을)심다"
25,month,달,"4",날씨,생일,요일,달
25,grocery store,식료품점,"4",정육점,빵집,백화점,식료품점
25,monthly pass,한달 정기권,"1",한달 정기권,하루 정기권,비행기 티켓,주간 정기권
25,gas,"가스, 기름","2",액체,"가스, 기름",고체의,유리
23,find,"찾다, 발견하다","1","찾다, 발견하다",건네주다,자다,놀다
23,plan,계획,"2","숫자, 번호",계획,"캠핑, 야영",카메라
23,cold,추운,"4",예쁜,더운,따뜻한,추운
23,beautiful,아름다운,"3",작은,큰,아름다운,더운
23,children,어린이,"3",남자,여자,어린이,할머니
23,see,보다,"4",듣다,만지다,말하다,보다
23,just,단지,"1",단지,아마도,정말,함께
23,plan,계획,"2","캠핑, 야영",계획,해변,공원
23,scary,무서운,"1",무서운,재미있는,추운,더운
23,camp,캠프,"2",이름,캠프,시간,주소
23,enjoy,즐기다,"3",그리워하다,환영하다,즐기다,필요하다
23,play,놀다,"2",만나다,놀다,그리워하다,알다
23,great,"멋진, 굉장한","2",준비가 된,"멋진, 굉장한",화난,나쁜
23,watch,보다,"4",듣다,말하다,만지다,보다
23,go out,외출하다,"1",외출하다,필요하다,그리워하다,만들다
23,eat,먹다,"2",놀다,먹다,보다,돕다
23,yum,(의성어) 냠냠,"2",빵,(의성어) 냠냠,소금,설탕
23,little,작은,"1",작은,큰,나쁜,좋은
23,basketball,농구,"1",농구,축구,야구,배구
23,welcome,환영하다,"1",환영하다,슬프다,화나다,놀라다
23,name,이름,"4",성별,나이,생일,이름
23,thank,감사하다,"4",생각하다,슬프다,때리다,감사하다
23,fun,재미,"2",시간,재미,여행,내일
24,three thousand,"3000, 삼 천","1","3000, 삼 천","300, 삼 백","200, 이 백","1000, (일) 천"
24,product,곱(곱셈을 한 후 얻는 값),"3",나누기,더하기,곱(곱셈을 한 후 얻는 값),빼다
24,crab,게,"1",게,거북,가재,불가사리
24,quart,쿼트(qt),"3",갤런(gal),파인트(pt),쿼트(qt),컵(c)
24,gallon,갤런(gal),"3",파인트(pt),쿼트(qt),갤런(gal),컵(c)
24,calendar,달력,"2",시계,달력,"1년",날짜
24,fourteen,"14, 열 넷","2","12, 열 둘","14, 열 넷","16, 열 여섯","15, 열 다섯"
24,altogether,모두 합쳐서,"4",함께,같이,모두 빼서,모두 합쳐서
24,centimeter,센티미터,"1",센티미터,그램,미터,미리미터
23,phonebook,전화번호부,"3",잡지,신문,전화번호부,공책
23,fish tank,어항,"3",전화기,거울,어항,꽃병
23,lid,뚜껑,"4",가발,"(꿀,잼)병",통나무,뚜껑
23,reach,(손 등을) 뻗다,"1",(손 등을) 뻗다,움직이다,부유한,제안하다
23,blow up,~을 불어서 부풀리다,"3",얼리다,계단을 오르다,~을 불어서 부풀리다,도착하다
23,put,얹다,"2",타다,얹다,먹다,걷다
23,bread,빵,"2",요거트,빵,치즈,밥
23,lettuce,양상추,"2",당근,양상추,오이,양파
23,plate,접시,"1",접시,컵,쟁반,사발
23,bowl,사발,"1",사발,접시,컵,냄비
23,lay,놓다,"3",(입으로)불다,떠나다,놓다,타다
23,bend,~을 구부리다,"3",(구멍 등을)파다,발견하다,~을 구부리다,~을 바라다
23,tell,~을 말하다,"2",~을 보다,~을 말하다,만들다,귀 기울이다
23,clothes,옷,"3",목걸이,양말,옷,신발
23,find,찾다,"3",느끼다,유지하다,찾다,사다
23,get,얻다,"2",주다,얻다,떠나다,만들다
23,sign,사인을 하다,"4",노래하다,그림을 그리다,놀다,사인을 하다
23,thoughts,생각,"1",생각,우정,기억,실망한
23,read,읽다,"3",공부하다,쓰다,읽다,그리다
23,walk,걷다,"4",헤엄치다,점프하다,달리다,걷다
23,cook,요리하다,"2",배우다,요리하다,춤추다,노래하다
23,dancer,춤추는 사람,"1",춤추는 사람,가수,작가,배우
23,chips,감자칩,"3",케이크,쿠키,감자칩,초콜릿
23,dress,옷을 입다,"4",꼭 껴안다,운전하다,요리하다,옷을 입다
23,study,공부하다,"2",전화하다,공부하다,운전하다,일하다
23,friend,친구,"4",사람들,이웃,가족,친구
23,in,~ 안에,"1",~ 안에,~ 옆에,~ 위에,~ 뒤에
23,firefighter,소방관,"2",경찰관,소방관,의사,간호사
23,many,많은,"3",새로운,"오래된, 낡은",많은,적은
23,sheep,양,"4",암탉,곰,늑대,양
23,honey,꿀,"3",설탕,소금,꿀,우유
23,presents,선물들,"4",인형들,사탕들,그림들,선물들
23,mitt,야구 장갑,"2",야구공,야구 장갑,야구 배트,운동화
23,his,그의,"4",나의,너의,그녀의,그의
24,collect,모으다,"1",모으다,뿌리다,주다,버리다
24,beach,해변,"3",산,강,해변,도시
24,sea,바다,"4",산,밭,도시,바다
24,dig,땅을 파다,"2",묻다,땅을 파다,심다,세우다
24,bucket,양동이,"2",공기,양동이,욕조,컵
24,top,"꼭대기, 정상","4",골짜기,평야,중턱,"꼭대기, 정상"
24,hold,잡다,"1",잡다,받다,주다,버리다
24,slide,미끄럼틀,"3",그네,골대,미끄럼틀,정글짐
24,sandbox,모래 놀이통,"1",모래 놀이통,그네,미끄럼틀,놀이터
24,pack,(짐을)싸다,"3",운반하다,놓다,(짐을)싸다,버리다
24,side,가장자리,"3",가운데,앞,가장자리,뒤
24,pay,지불하다,"4",팔다,빌리다,빌려 주다,지불하다
24,mirror,거울,"2",시계,거울,인형,침대
24,lace up,끈으로 묶다,"3",칠하다,자르다,끈으로 묶다,붙이다
24,pull back,뒤로 끌어당기다,"4",밀다,막다,잡다,뒤로 끌어당기다
24,get,가지다,"1",가지다,주다,고르다,빌리다
24,vegetables,야채,"2",과일,야채,주스,고기
24,put,놓다,"1",놓다,쌓다,만들다,유지하다
24,coat,외투,"1",외투,스웨터,치마,바지
24,fill up,가득 채우다,"4",버리다,비우다,놓다,가득 채우다
24,call,부르다,"1",부르다,말하다,듣다,묻다
24,feed,먹이다,"3",마시다,즐기다,먹이다,맛보다
24,run,뛰다,"1",뛰다,걷다,보다,듣다
24,loosen up,긴장을 풀다,"3",긴장하다,잠자다,긴장을 풀다,일어나다
24,throw,던지다,"2",받다,던지다,때리다,달리다
24,catch,잡다,"3",쫓다,걷다,잡다,달리다
24,plant,심다,"4",파다,뽑다,집다,심다
24,soil,흙,"4",물,해,돌,흙
24,flowerpot,화분,"3",물,흙,화분,삽
24,tree,나무,"4",꽃,줄기,잎,나무
24,plate,접시,"2",냅킨,접시,나이프,포크
24,cook,요리하다,"4",노래하다,만들다,색칠하다,요리하다
24,use,사용하다,"4",교환,재활용하다,버리다,사용하다
24,teacher,선생님,"3",사서,친구,선생님,의사
24,glue,풀칠하다,"1",풀칠하다,자르다,심다,접다
24,plant,심다,"4",풀칠하다,자르다,접다,심다
24,adventure,모험,"2",여행,모험,관광,체험
24,history,역사,"2",영어,역사,과학,사회
24,hospital,병원,"1",병원,약국,학교,카페
24,way,방식,"3",한계,끈기,방식,기회
24,drop,떨어뜨리다,"2",끌어당기다,떨어뜨리다,밀어내다,정리하다
24,strange,이상한,"3",정상적인,무례한,이상한,정직한
24,breakfast,아침 식사,"3",브런치,간식,아침 식사,디저트
24,money,돈,"2",카드,돈,물건,선물
23,play,놀다,"1",놀다,사소한일,재밌는,보다
23,four,네 개(의),"4",한 개(의),두 개(의),세 개(의),네 개(의)
23,stick,나뭇가지,"2",나뭇잎,나뭇가지,나이테,빨대
23,cover,감싸다,"4",방출하다,깔아두다,버리다,감싸다
23,feet,발들,"4",눈들,귀들,손들,발들
23,boots,장화,"3",구두,운동화,장화,샌들
23,body,몸,"4",손,발,머리,몸
23,nose,코,"4",입,귀,눈,코
23,walk,걷다,"2",뛰다,걷다,앉다,서다
23,today,오늘,"4",내일,어제,이번주,오늘
23,me,나를,"3",너의,우리,나를,당신을
23,helpful,도움이 되는,"4",걱정이 되는,"멋진, 훌륭한",즐거워하는,도움이 되는
23,my,나의,"2",너의,나의,혼자,우리
23,ant,개미,"2",벌,개미,사마귀,나비
23,rock,바위,"4",자갈,숲,모래,바위
23,wait,기다리다,"4",참고하다,낭비하다,환영하다,기다리다
23,come,오다,"4",버리다,사라지다,머물다,오다
23,kitchen,부엌,"4",침실,거실,욕실,부엌
23,carrot,당근,"1",당근,양파,오이,토마토
23,apple,사과,"3",포도,복숭아,사과,오렌지
23,pet,애완동물,"1",애완동물,야생동물,공룡,곤충
23,animal,동물,"2",식물,동물,곤충,인간
23,bus,버스,"3",자전거,승용차,버스,지하철
23,fox,여우,"4",나비,곰,사자,여우
23,bug,벌레,"1",벌레,가축,식물,동물
23,snail,달팽이,"3",사마귀,무당벌레,달팽이,개미
24,meaty,"고기가 많은, 살찐","1","고기가 많은, 살찐",매운,의미있는,측정하는
24,acorn,도토리,"1",도토리,쓴 맛,옥수수,"계좌, 장부"
24,fish,물고기,"4",새우,닭고기,들판,물고기
24,shape,모양,"4",충격,그늘,선반,모양
24,mouth,입,"1",입,산더미,콧수염,생쥐
24,prove,증명하다,"1",증명하다,밀다,당기다,자랑하다
24,beautiful,아름다운,"4",배부른,돈많은,잘 보이는,아름다운
24,ground,"땅, 바닥","4",계단,건물,동굴,"땅, 바닥"
24,mouth,입,"3",콧수염,"쥐, 생쥐",입,산더미
24,tongue,혀,"1",혀,"어조, 말투",편도선,집게
24,upset,불쾌한,"4",이기적인,가라앉은,믿는,불쾌한
24,cry,울다,"1",울다,주장하다,금이 가다,기다
24,please,"만족시키다, 기쁘게 하다","2",놀다,"만족시키다, 기쁘게 하다",붙이다,애원하다
24,chase,뒤쫓다,"1",뒤쫓다,속이다,선택하다,건지다
24,across,~을 가로질러,"2",~에 가까이,~을 가로질러,~을 따라,~와 다른
24,idea,"생각, 의견","4",신분,"그림, 이미지",정체성,"생각, 의견"
24,hard,"어려운, 힘든","1","어려운, 힘든",구멍난,부드러운,하염없는
24,neck,목,"3",둥지,바늘,목,실
24,still,여전히,"4",극단적인,시끄러운,살며시,여전히
24,vote,투표하다,"1",투표하다,배를 타다,노를 젓다,존경하다
24,say,말하다,"3",돌아오다,믿다,말하다,빌다
24,nice,"좋은, 괜찮은","2",코가 높은,"좋은, 괜찮은",희미한,말없는
24,pretty,예쁜,"1",예쁜,서러운,포장하는,죄 지은
24,try,"노력하다, 힘쓰다","4",대하다,묶다,여행하다,"노력하다, 힘쓰다"
24,wrong,틀린,"4",긴,고함치는,바라는,틀린
24,water,물,"4",흙,바람,감시,물
24,grasshopper,베짱이,"1",베짱이,비둘기,잔디밭,천사
24,fun,"즐거움, 장난","2",울음,"즐거움, 장난",구멍,털
24,fall,가을,"4",나뭇잎,투표,겨울,가을
24,cold,추운,"2",금색의,추운,은색의,아픈
24,warm,따뜻한,"3",원하는,걱정하는,따뜻한,두려운
24,mine,나의 것,"3",쥐,입,나의 것,모두
24,piece,조각,"1",조각,종이,후추,길
24,cousin,사촌,"2",형부,사촌,이유,고모
24,both,양쪽(둘) 다,"4",부츠,뒤에,위에,양쪽(둘) 다
24,go away,가버리다,"2",소원을 빌다,가버리다,인사하다,기다리다
24,taste,맛보다,"4",빠지다,망설이다,원하다,맛보다
24,bacon,베이컨,"3",빵,밀가루,베이컨,등뼈
23,subway,지하철,"1",지하철,승용차,버스,택시
23,celebrate,축하하다,"2",이동하다,축하하다,이어보다,추가하다
23,best,가장 잘 하는,"3",이상한,없는,가장 잘 하는,잘못된
23,contest,콘테스트,"2",축구,콘테스트,구석,의미
23,fun,"즐거운, 재미난","1","즐거운, 재미난",추운,매운,따분한
23,dark,어두운,"3",환한,좁은,어두운,넓은
23,barn,헛간,"4",창문,계단,지붕,헛간
23,food,음식,"1",음식,식탁,그릇,접시
23,restaurant,음식점,"2",목욕탕,음식점,화장실,작업장
23,chicken,닭고기,"1",닭고기,쇠고기,칠면조,오리고기
23,fish,생선,"2",돼지,생선,얼룩말,조개
23,alive,살아있는,"4",죽어가는,메마른,뜨거운,살아있는
23,turn,돌다,"4",뛰다,지나가다,직진하다,돌다
23,ready,준비가 된,"3",끝난,도중에,준비가 된,항상
23,early,이른,"4",늦은,보통,이제,이른
23,restroom,화장실,"1",화장실,안방,거실,식당
23,over,끝난,"1",끝난,시작하는,중간의,가장자리의
23,soccer,축구,"1",축구,농구,배구,볼링
23,answer,정답,"3",오답,문제,정답,설명
23,noon,정오,"3",아침,자정,정오,새벽
23,bone,뼈,"1",뼈,가죽,피부,털
23,shirt,셔츠,"4",장갑,양말,바지,셔츠
23,hurt,아프다,"4",당기다,즐기다,소극적이다,아프다
23,football,미식축구,"4",배구,농구,야구,미식축구
23,fix,고치다,"4",고장나다,주문하다,옮기다,고치다
23,first,첫 번째의,"1",첫 번째의,두 번째의,세 번째의,마지막의
23,octopus,문어,"4",오징어,물개,불가사리,문어
23,second,두 번째의,"2",첫 번째의,두 번째의,중간의,마지막의
23,pen,펜,"4",칼,책,사전,펜
23,brother,남자 형제,"4",빵집,사촌,친구,남자 형제
23,water,물,"2",얼음,물,접시,불
24,wait,기다리다,"2",주문하다,기다리다,"두드리다, 노크하다",들어오다
24,glue,"접착제, 풀","1","접착제, 풀",가위,종이,크레용
24,cover,가리다,"2",멈추다,가리다,떼다,걸다
24,next,다음의,"2",이전의,다음의,마지막의,처음의
24,spin,돌다,"1",돌다,버리다,"줍다, 집어올리다",붙이다
24,swing,휘두르다,"4","잡다, 쥐다",버리다,"줍다, 집어올리다",휘두르다
24,take out,꺼내다,"3",붙이다,걸다,꺼내다,넣다
24,run,달리다,"4",멈추다,기어가다,걷다,달리다
24,order,주문하다,"2",들어오다,주문하다,"일어나다, 벌어지다",꺼내다
24,soda,"소다, 탄산음료","2",커피,"소다, 탄산음료",우유,차
24,inside,안으로,"2",밖으로,안으로,옆으로,뒤로
24,enjoy,즐기다,"4",움직이다,주문하다,그리다,즐기다
24,pass,"전달하다, 전해주다","1","전달하다, 전해주다",움직이다,그리다,주문하다
24,taste,"맛이 나다, 맛을 보다","3",듣다,냄새가 나다,"맛이 나다, 맛을 보다",말하다
24,bad,"좋지 않은, 맛 없는","3",배고픈,목마른,"좋지 않은, 맛 없는",맛있는
24,sour,"신, 시큼한","4",짠,매운,달콤한,"신, 시큼한"
24,grape,포도,"4",오렌지,사과,수박,포도
24,cross,"가로지르다, 횡단하다","2",움직이다,"가로지르다, 횡단하다",서두르다,기어가다
24,store,상점,"4",학교,경기장,도서관,상점
24,balloon,풍선,"1",풍선,가면,반지,모자
24,sport,운동,"2",음악,운동,미술,요리
24,clock,"벽시계, 탁상시계","2",손목시계,"벽시계, 탁상시계",컴퓨터,사진기
24,clothes,"옷, 의복","4",배낭,모자,양말,"옷, 의복"
24,about,약,"4",정말,아마도,물론,약
24,swimming,수영하고 있는,"4",자고 있는,캠프하고 있는,요리하고 있는,수영하고 있는
24,talk,"말하다, 이야기하다","2",만나다,"말하다, 이야기하다",듣다,보다
24,call,전화하다,"4",만들다,요리하다,운전하다,전화하다
24,classroom,교실,"2",운동장,교실,계단,창고
24,test,시험,"1",시험,파티,쇼핑,캠핑
24,history,역사,"2",지리,역사,음악,영어
24,scissors,가위,"4",연필,지우개,자,가위
25,in front of,~의 앞에,"3",~의 밖에,~의 안에,~의 앞에,~의 뒤에
25,kick,발로 차다,"2",손을 흔들다,발로 차다,빈칸을 채우다,"가져가다, 받다"
25,strong,강한,"1",강한,약한,부드러운,딱딱한
25,dollar,달러,"3",원,루피,달러,유로
25,hold on,전화를 끊지 않고 기다리다,"3",모퉁이를 돌다,글을 쓰다,전화를 끊지 않고 기다리다,"~와 함께하다, 가입하다"
25,block,블록,"3",날개,바퀴,블록,"모퉁이, 구석"
25,worry,걱정하다,"4",대화하다,속삭이다,생각하다,걱정하다
25,early,"이른, 초기의","3",젖은,"마른, 건조한","이른, 초기의",늦은
25,knee,무릎,"3",손가락,목,무릎,손목
25,perfect,"완벽한, 딱 맞는","4","색이 밝은, 선명한","거대한, 큰","낡은, 오래된","완벽한, 딱 맞는"
25,hurry,서두르다,"4",기어가다,뛰다,걷다,서두르다
25,fruit,과일,"1",과일,고기,빵,밥
25,every,모든,"4",각각,몇몇의,오직,모든
25,trash,쓰레기,"4",먼지,봉투,"깡통, 캔",쓰레기
25,by,~옆에,"2",~앞에,~옆에,~뒤에,~안에
25,cross,건너다,"1",건너다,오르다,내리다,뛰다
25,stay,머무르다,"3",작동하다,걸다,머무르다,"두다, 놓다"
25,take a nap,낮잠을 자다,"1",낮잠을 자다,무게를 달다,값을 치르다,아프다
25,work,작동하다,"1",작동하다,사용하다,"나누다, 분리하다",(일 등이) 일어나다
25,weigh,무게를 달다,"4",먹이를 주다,치수를 재다,낮잠을 자다,무게를 달다
25,plane,비행기,"1",비행기,자동차,기차,보트
25,divide,"나누다, 분리하다","2",붙이다,"나누다, 분리하다",걸다,사용하다
25,country,나라,"1",나라,섬,도시,시청
25,chef,요리사,"4",가수,작곡가,의사,요리사
25,trainer,"트레이너, 교관","3",경찰관,가수,"트레이너, 교관",의사
25,science,과학,"2",수학,과학,음악,역사
25,score,점수,"4",쇼핑,문제,숙제,점수
